"inventory_ids","epmc_query_ids"
"31702846","31702846"
"27980519","27980519"
"33798715","33798715"
"31269035","31269035"
"27242036","27242036"
"21544197","21544197"
"33382885","33382885"
"34016708","34016708"
"30357367","30357367"
"24466021","24466021"
"22080556","22080556"
"25355519","25355519"
"28595571","28595571"
"24203703","24203703"
"34992626","34992626"
"32890396","32890396"
"33068433","33068433"
"33009914","33009914"
"32665542","32665542"
"34585731","34585731"
"34931882","34931882"
"23203868","23203868"
"21269480","21269480"
"28962356","28962356"
"25861964","25861964"
"22120664","22120664"
"24214993","24214993"
"24253304","24253304"
"29036683","29036683"
"31725864","31725864"
"26450948","26450948"
"23868908","23868908"
"34482425","34482425"
"33010154","33010154"
"31624845","31624845"
"30285246","30285246"
"33084893","33084893"
"26438539","26438539"
"30598113","30598113"
"26602695","26602695"
"30967897","30967897"
"28724888","28724888"
"23396301","23396301"
"29178828","29178828"
"32928113","32928113"
"24319146","24319146"
"29036403","29036403"
"26989154","26989154"
"28191780","28191780"
"33211888","33211888"
"25038066","25038066"
"28704505","28704505"
"32990755","32990755"
"23193294","23193294"
"26322998","26322998"
"32183712","32183712"
"22139934","22139934"
"30321383","30321383"
"23550061","23550061"
"24344970","24344970"
"27226753","27226753"
"26305368","26305368"
"22829745","22829745"
"23175607","23175607"
"25632108","25632108"
"23185330","23185330"
"28440791","28440791"
"26048563","26048563"
"34782688","34782688"
"21738316","21738316"
"27391016","27391016"
"23203878","23203878"
"25232097","25232097"
"34803258","34803258"
"22110032","22110032"
"31366898","31366898"
"23074185","23074185"
"34791106","34791106"
"28294141","28294141"
"33174603","33174603"
"29485625","29485625"
"25278960","25278960"
"23275696","23275696"
"25414358","25414358"
"30380085","30380085"
"23842462","23842462"
"29764375","29764375"
"24647629","24647629"
"25474259","25474259"
"32941621","32941621"
"30053267","30053267"
"24918550","24918550"
"33196844","33196844"
"28977473","28977473"
"33276297","33276297"
"27192119","27192119"
"29860480","29860480"
"27899556","27899556"
"22096234","22096234"
"26099468","26099468"
"26577058","26577058"
"22102573","22102573"
"24297256","24297256"
"26566288","26566288"
"33051688","33051688"
"26055100","26055100"
"31603498","31603498"
"29961819","29961819"
"24434032","24434032"
"26503248","26503248"
"29145823","29145823"
"30482172","30482172"
"27010073","27010073"
"26946289","26946289"
"25534750","25534750"
"24194603","24194603"
"23193290","23193290"
"27903894","27903894"
"26438538","26438538"
"25336621","25336621"
"22086958","22086958"
"25887129","25887129"
"26989155","26989155"
"23161684","23161684"
"32527280","32527280"
"25398897","25398897"
"27577567","27577567"
"21938213","21938213"
"23516335","23516335"
"30942868","30942868"
"27084938","27084938"
"26553809","26553809"
"26980516","26980516"
"26727469","26727469"
"26342387","26342387"
"31664080","31664080"
"27618709","27618709"
"27907889","27907889"
"25326239","25326239"
"25332398","25332398"
"33119734","33119734"
"23415072","23415072"
"25951377","25951377"
"22369658","22369658"
"22493695","22493695"
"23197658","23197658"
"24122041","24122041"
"23193291","23193291"
"24307774","24307774"
"26586797","26586797"
"35424427","35424427"
"25378341","25378341"
"31641158","31641158"
"29385418","29385418"
"23172289","23172289"
"26481352","26481352"
"29069447","29069447"
"32976589","32976589"
"22080506","22080506"
"26503254","26503254"
"33382035","33382035"
"28381244","28381244"
"29059320","29059320"
"22135302","22135302"
"25877637","25877637"
"29036667","29036667"
"31713636","31713636"
"22058129","22058129"
"26363178","26363178"
"25505093","25505093"
"33079988","33079988"
