"agency","count_all_funder_metadata_instances","count_unique_articles","count_unique_biodata_resources","list_PMIDs_for_funder"
"Beijing Natural Science Foundation",5,4,4,"31428785, 30266409, 29617941, 29617941, 33306800"
"Science Foundation of Zhejiang Province",1,1,1,"31428785"
"Special Foundation for Key Basic Research of Wenzhou Institute of Biomaterials and Engineering",1,1,1,"31428785"
"CAMS Innovation Fund for Medical Sciences",2,1,1,"31428785, 31428785"
"Association Vaincre la Mucoviscidose",1,1,1,"28603918"
"Saigon University",1,1,1,"28651548"
"The Vietnam National Gene Fund",1,1,1,"28651548"
"Natural Science Foundation of the Jiangsu Higher Education Institutions of China",2,2,2,"32608479, 31950190"
"National Institute of General Medical Sciences",34,22,20,"30486838, 32073269, 25333826, 33995899, 29337142, 33973408, 25102069, 30985146, 32345346, 31494246, 29733404, 27188311, 30871473, 33211851, 33211851, 30668832, 33290552, 33290552, 33290552, 33290552, 33206959, 33206959, 34529321, 33237286, 33237286, 30395331, 30395331, 30395331, 30395331, 30395331, 30476243, 30395287, 30395287, 30395287"
"Fundos Europeus Estruturais e de Investimento",1,1,1,"33068420"
"Fundação para a Ciência e a Tecnologia",11,5,5,"33068420, 34782688, 34782688, 31713636, 29899596, 29899596, 33822911, 33822911, 33822911, 33822911, 33822911"
"FEDER",4,4,4,"33068420, 30593925, 31171447, 31680165"
"FCT",2,2,2,"33068420, 30820574"
"Department of Defense",3,2,2,"30202990, 30202990, 21656910"
"National Institute of Health Core",1,1,1,"30202990"
"Ministry of Innovation and Technology in Hungary",1,1,1,"31942977"
"Higher Education Institutional Excellence Programme",1,1,1,"31942977"
"National Research, Development and Innovation Office of Hungary",2,1,1,"31942977, 31942977"
"CIHR",16,13,13,"22718786, 31095607, 31095607, 31095607, 23019048, 23019048, 31679514, 24229347, 31724725, 23674503, 31868683, 32442307, 33125652, 33313828, 27899612, 27789705"
"University of the Sunshine Coast",1,1,1,"30045691"
"the National Key Research and Development Program of China",3,3,3,"30045691, 34791105, 34154536"
"National Institute for Health Research (NIHR)",9,6,6,"31095607, 27976751, 27976751, 24217912, 24217912, 24217912, 24297257, 25414323, 26919060"
"KRESCENT",1,1,1,"31095607"
"Netherlands Genomics Initiative",1,1,1,"31095607"
"NIHR Great Ormond Street Hospital Biomedical Research Center",1,1,1,"31095607"
"The Sir Jules Thorn Charitable Trust",1,1,1,"31095607"
"Telethon",7,7,7,"31095607, 21435384, 22804825, 24558125, 22096227, 22415763, 24234451"
"Nierstichting",1,1,1,"31095607"
"Dutch Governement",1,1,1,"31095607"
"Radboud Universitair Medisch Centrum",1,1,1,"31095607"
"Radboud Universiteit",1,1,1,"31095607"
"Michael Smith Foundation for Health Research",2,2,2,"31095607, 31701148"
"Metakids Foundation",1,1,1,"31095607"
"National Key R&amp;D Program",6,5,5,"32345360, 32008039, 32008039, 30380109, 29157087, 31942978"
"DFG Graduate School",1,1,1,"25234927"
"MDC-NYU",1,1,1,"25234927"
"The research start-up fellowship of the University of the Sunshine Coast to M.Z.",1,1,1,"34296749"
"Ministry of Science and Technology",9,5,5,"27365365, 27365365, 30395277, 33175170, 32898258, 32898258, 31701128, 31701128, 31701128"
"Natural Science Foundation of Guangxi Zhuang Autonomous Region",1,1,1,"33181824"
"Hunan Provincial Science and Technology Program",1,1,1,"33181824"
"the Natural Science Foundation of Yunnan Province of China",1,1,1,"33181824"
"the scientific Research Foundation of Hunan Provincial Education Department",1,1,1,"33181824"
"the foundation of Guangxi University",1,1,1,"33181824"
"Science and Technology Base and talent Special project of Guangxi",1,1,1,"33181824"
"Key Research and Development Plan of Guangxi",1,1,1,"33181824"
"the research start-up fellowship of the University of the Sunshine Coast",1,1,1,"33121433"
"Fundação Araucária",2,2,2,"33181825, 26887375"
"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",6,5,5,"33181825, 33181825, 33995920, 26887375, 33388027, 33095862"
"Conselho Nacional de Desenvolvimento Científico e Tecnológico",5,5,5,"33181825, 33995920, 26887375, 24273012, 33095862"
"scientific initiation scholarship",1,1,1,"33181825"
"Fundação de Amparo à Pesquisa do Estado de São Paulo",1,1,1,"33181825"
"Technological Special Project of Liaoning Province of China",1,1,1,"33109630"
"the Construction of Liaoning Cancer Research Center",1,1,1,"33109630"
"the National Natural Science Foundation in China",1,1,1,"33109630"
"the Fundamental Research Fund for Central University",2,1,1,"33109630, 33109630"
"National Natural Science Foundation in China",1,1,1,"33109630"
"RGYI",1,1,1,"25913159"
"Ministry of Research and Innovation of Ontario",1,1,1,"33735471"
"Canada Research Chairs",4,3,3,"33735471, 31825307, 30407591, 30407591"
"Shenzhen Municipal Government",5,2,2,"30357356, 30357356, 30357356, 28549078, 28549078"
"Zhejiang Province Ministry of Science and Technology",2,2,2,"30357356, 31231773"
"MOE",1,1,1,"30668638"
"Featured Areas Research Center Program",1,1,1,"30668638"
"Higher Education Sprout Project",2,2,2,"30668638, 33035337"
"Advanced Plant Biotechnology Center",1,1,1,"30668638"
"National Major Scientific and Technological Special Project",2,1,1,"32986829, 32986829"
"National Key Technology R&amp;D Program",1,1,1,"32986829"
"Ministry of Science and Technology of the People&apos;s Republic of China",13,10,10,"31813095, 31813095, 31813095, 28595571, 34992626, 33938221, 33938221, 33382035, 33984507, 33103271, 30134653, 27643925, 34344425"
"The Technology Development Funding of Wuxi",1,1,1,"31813095"
"Ministry of Science and Technology of the People's Republic of China",4,2,2,"31813095, 31813095, 31813095, 34344425"
"Government of Jiangsu Province",1,1,1,"31813095"
"Science and Technology Department of Henan Province",1,1,1,"31813095"
"State Key Lab of Microbial Metabolism and Joint Research Funds for Medical and Engineering and Scientific Research at Shanghai Jiao Tong University",1,1,1,"31813095"
"Jiangnan University",1,1,1,"31813095"
"National Natural Science Foundation of China (CN)",3,2,2,"31901979, 28187703, 28187703"
"Basic and Applied Basic Research Fund",2,1,1,"33010163, 33010163"
"Center for Biotechnology, National Taiwan University, Taiwan",1,1,1,"34259866"
"Center of Genomics and Precision Medicine, Ministry of Science and Technology, Taiwan",1,1,1,"34259866"
"Blood Cancer UK",1,1,1,"25270877"
"CONICET",1,1,1,"34954795"
"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación",1,1,1,"34954795"
"Universidad Nacional de Quilmes",3,3,3,"34954795, 33237329, 33305318"
"U.S. Food and Drug Administration",2,2,2,"31029701, 31982380"
"Open Project of Key laboratory of Loquat Germplasm Innovation and Utilization, Putian University, Fujian Province",1,1,1,"32436316"
"the Major Science and Technology Planning Project of Guangdong Province",1,1,1,"34964846"
"the Research Initiative Fund of Southern Hospital 2018",1,1,1,"34964846"
"the Science and Technology Program of Guangzhou",1,1,1,"34964846"
"NIBIB NIH HHS",11,5,5,"22275896, 22275896, 22275896, 33174603, 26019122, 26019122, 26019122, 26019122, 26019122, 31868683, 27899595"
"Ohio State University",1,1,1,"32073269"
"Color Genomics",1,1,1,"33181822"
"Guangdong Province",4,2,2,"33313674, 33313674, 33175131, 33175131"
"Guangdong Province Key Laboratory of Computational Science",2,2,2,"33313674, 33175131"
"Pearl River S and T Nova Program of Guangzhou",1,1,1,"33313674"
"Youth science and technology",1,1,1,"33313674"
"Guangdong Province Computational Science Innovative Research Team",2,2,2,"33313674, 33175131"
"Guangzhou city",4,2,2,"33313674, 33313674, 33175131, 33175131"
"National Institute of Diabetes and Digestive and Kidney Diseases",6,6,6,"25333826, 34859531, 33973408, 33290552, 33206959, 33237286"
"NIDDK NIH HHS",62,36,35,"25333826, 25333826, 33079988, 26393351, 26393351, 33787872, 27766955, 23794736, 30951672, 24101916, 22748121, 22748121, 22748121, 34859531, 27504778, 28212602, 33125055, 33973408, 30418591, 30397019, 26322134, 24203705, 33174596, 33174596, 21880229, 21880229, 23196988, 23196988, 23196988, 23196988, 21890895, 26072489, 26072489, 24839966, 24227675, 24227675, 24288368, 30674925, 30674925, 30674925, 30674925, 31672983, 31672983, 31672983, 31672983, 31672983, 34522848, 34522848, 22786849, 22067444, 22067444, 23180778, 32728249, 32728249, 32728249, 24350770, 24350770, 24350770, 24350770, 25388151, 24910945, 24910945"
"Major Scientific Research Platform Construction Project of Shandong Province",1,1,1,"32754758"
"Marine S&amp;T Fund of Shandong Province for Pilot National Laboratory for Marine Science and Technology",2,2,2,"32754758, 32621601"
"National Science and Technology Major Project for Significant New Drugs Development",1,1,1,"32754758"
"National Laboratory Director Fund",1,1,1,"32754758"
"NIDCR NIH HHS",24,14,12,"21544197, 21544197, 21544197, 21544197, 27504778, 27504778, 27504778, 33119754, 33119754, 33119754, 34032471, 29126312, 31754718, 31588509, 22759918, 22759918, 22064862, 30417254, 30417254, 30417254, 31504780, 24185697, 25428374, 27738138"
"GREEN-IT - Bioresources for Sustainability",1,1,1,"33382885"
"BioData.pt - Infraestrutura Portuguesa de Dados Biológicos",1,1,1,"33382885"
"HHS | NIH | U.S. National Library of Medicine",1,1,1,"34016708"
"NIA NIH HHS",35,19,16,"30357367, 24678734, 24678734, 30951672, 33174596, 33514395, 32777102, 25172923, 25172923, 29370821, 29370821, 29370821, 24194593, 29733404, 29733404, 27188311, 24203712, 23226127, 30668832, 30668832, 30668832, 30668832, 30668832, 22102583, 22102583, 22102583, 22102583, 25388151, 26311606, 26553799, 26553799, 26553799, 26553799, 26553799, 31696236"
"Ministry of Agriculture of the People&apos;s Republic of China",2,1,1,"28595571, 28595571"
"National Science &amp; Technology Major Project of China",1,1,1,"33068433"
"Zhejiang Provincial Natural Science Foundation",3,3,3,"33068433, 33264402, 33010159"
"Primary Research and Development Program of Zhejiang Province",1,1,1,"33068433"
"National Natural Science Foundation of HeBei Province",1,1,1,"33009914"
"EC | EU Framework Programme for Research and Innovation H2020 | H2020 Priority Societal Challenges | H2020 Health (H2020 Societal Challenges - Health, Demographic Change and Well-being)",1,1,1,"32665542"
"Bundesministerium für Bildung und Forschung",6,5,5,"34931882, 32862462, 32862462, 34699529, 30418610, 30476243"
"Bundesministerium für Bildung und Forschung (BMBF)",1,1,1,"34931882"
"Defense Advanced Research Projects Agency",1,1,1,"31725864"
"Chief Scientist Office",2,1,1,"23019048, 23019048"
"national institute of child health and human development",2,2,2,"34482425, 34698891"
"NIH HHS",47,31,26,"34482425, 29485625, 26503254, 26503254, 26503254, 27664130, 24217912, 24217912, 27841751, 31679514, 31679514, 31679514, 27899569, 30841849, 30841849, 29284660, 29284660, 26251998, 23674503, 23674503, 28862395, 24203712, 31283070, 23175606, 21276248, 25392405, 25392405, 25392405, 25392405, 25392405, 25348409, 25348409, 30476227, 27924039, 34314492, 30407596, 31722416, 26919060, 23203872, 22067456, 24285300, 25428363, 25428363, 25428363, 27980099, 27980099, 25723102"
"nih office of the director",1,1,1,"34482425"
"Center of Genetic Medicine Research",1,1,1,"33010154"
"Pharmaceutical Research and Manufacturers of America Foundation",1,1,1,"33010154"
"W.T. Gill Fellowship",1,1,1,"33010154"
"Developmental Biology of Freshwater Fish",1,1,1,"30285246"
"Developmental Biology of Hunan Province",1,1,1,"30285246"
"Scientific Research Fund of Hunan Provincial Education Department",1,1,1,"30285246"
"Australian Research Council",14,7,7,"30548723, 30548723, 30548723, 30548723, 32928113, 32928113, 32928113, 31667690, 31161204, 31161204, 26434508, 33084874, 30329070, 30329070"
"Sichuan and Guangxi Provinces",2,2,2,"34927675, 34164644"
"Direct Grant for Research from The Chinese University of Hong Kong",1,1,1,"29178828"
"Collaborative Research Fund of the Research Grants Council",1,1,1,"29178828"
"Data Science and Informatics Core for Cancer Research",2,1,1,"33211888, 33211888"
"Cancer Prevention and Research Institute of Texas",15,11,11,"33211888, 32576192, 32576192, 30418591, 33137204, 33137204, 32810235, 32810235, 31672983, 29092939, 31432762, 31680168, 31598702, 31598702, 33021634"
"Ministry of Science and Technology, Taiwan",20,11,11,"28704505, 33035337, 33035337, 33035337, 33035337, 34976312, 34976312, 34266386, 34266386, 34025934, 30587128, 30587128, 28194231, 28194231, 30846808, 30846808, 30048518, 30048518, 27392072, 34384382"
"Regional Government of Madrid",2,1,1,"32990755, 32990755"
"Ministry of Economy and Competitiveness",6,1,1,"32990755, 32990755, 32990755, 32990755, 32990755, 32990755"
"Technology and Education",1,1,1,"32294193"
"Invigorating Health Care through Science",1,1,1,"32294193"
"Jiangsu Provincial Key Medical Discipline",1,1,1,"32294193"
"US-Israel Binational Agricultural Research and Development",3,1,1,"30321383, 30321383, 30321383"
"National Institute of Food and Agriculture",7,5,5,"30321383, 26705106, 26705106, 31647100, 30357347, 30357347, 31680153"
"Natural Science Foundation of Jilin Province",1,1,1,"33320930"
"Cystic Fibrosis Trust",4,3,3,"34782688, 31598690, 33416848, 33416848"
"Innovative Medicines Initiative",5,4,4,"34782688, 32707486, 30601939, 31701150, 31701150"
"Key Laboratory of Liaoning Educational Council",1,1,1,"27553277"
"Central University",1,1,1,"27553277"
"NSFC",2,2,2,"34256256, 34846641"
"Children&apos;s Tumor Foundation",1,1,1,"26144527"
"Ministerio de Ciencia e Innovación",3,2,2,"26144527, 33252190, 33252190"
"Comunidad de Madrid",2,2,2,"26144527, 31740968"
"Economic and Social Research Council",1,1,1,"23529715"
"Icahn Institute of Data Science and Genomic Technology",1,1,1,"33174603"
"Chinese University of Hong Kong",4,3,3,"30380085, 30476229, 30476229, 30418626"
"Grants-in-Aid for Scientific Research",1,1,1,"33196844"
"CSIR-Institute of Minerals and Materials Technology (CSIR-IMMT), Bhubaneswar",1,1,1,"33276297"
"School of Biotechnology, Kalinga Institute of Industrial Technology",1,1,1,"33276297"
"Deemed to be University, Bhubaneswar",1,1,1,"33276297"
"Anhui Provincial Outstanding Young Talent Support Plan",1,1,1,"30379998"
"oung Wanjiang Scholar Program of Anhui Province, China",1,1,1,"30379998"
"Frederick National Laboratory for Cancer Research",1,1,1,"33051688"
"Anhui Province Funds for Excellent Youth Scholars in Colleges",1,1,1,"30665056"
"Anhui Scientific Research Foundation for Returned Scholars",1,1,1,"30665056"
"Natural Science Young Foundation of Anhui",1,1,1,"34314366"
"Natural Science Young Foundation of Anhui Agricultural University",1,1,1,"34314366"
"Introduction and Stabilization of Talent Project of Anhui Agricultural University",1,1,1,"34314366"
"National Key Research and Development",1,1,1,"34314366"
"Graduate Innovation Fund of Anhui Agricultural University",1,1,1,"34314366"
"Jiangxi Provincial Natural Science Foundation",1,1,1,"29145823"
"National Nature Science Foundation of China",5,2,2,"29145823, 30380072, 30380072, 30380072, 30380072"
"Chinese Human Proteome Projects",2,1,1,"26940364, 26940364"
"Key Infectious Disease Project",1,1,1,"26940364"
"National Hi-Tech Program",2,2,2,"26940364, 30055873"
"European Union Collaborative Research",1,1,1,"30942868"
"Howard Hughes Medical Institute",29,26,21,"27907889, 33995899, 27113915, 24297255, 24002112, 33780471, 33174596, 33653882, 33653882, 22833564, 24271386, 28365761, 28365761, 23193263, 26138588, 26705106, 26705106, 26590259, 26612867, 27924039, 26673716, 33221922, 22067452, 25428374, 23203985, 24194605, 23193274, 24288371, 23125362"
"Robert J. Mattauch Endowment",1,1,1,"33119734"
"Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México",2,2,2,"35424427, 32542109"
"Hungarian Academy of Sciences",10,6,6,"29385418, 31713636, 31713636, 31713636, 31713636, 31686102, 29036655, 29036655, 31612960, 31680160"
"European Molecular Biology Organization",2,2,2,"29385418, 33186585"
"OTKA",2,1,1,"29385418, 29385418"
"VILLUM Young Investor",1,1,1,"32976589"
"UKIERI",1,1,1,"33007622"
"European Union&apos;s Horizon 2020 research and innovation programme",2,2,2,"28502574, 31612960"
"Research Grants Council, University Grants Committee",3,1,1,"33382035, 33382035, 33382035"
"European Union’s Seventh Framework Programme",1,1,1,"25484339"
"Research Foundation Flanders",3,3,3,"31713636, 31584092, 33237329"
"Elixir-GR",1,1,1,"31713636"
"ICREA",1,1,1,"31713636"
"Mexican National Council of Science and Technology",1,1,1,"31713636"
"Carlsberg Distinguished Fellowship",1,1,1,"31713636"
"Italian Ministry of Health Young Investigator Grant",1,1,1,"31713636"
"National Research, Development and Innovation Office",2,2,2,"31713636, 33119751"
"Vetenskapsrådet",4,4,4,"31713636, 28182744, 32016318, 33539890"
"Danmarks Grundforskningsfond",1,1,1,"31713636"
"Hungarian National Research, Development, and Innovation Office",4,2,2,"31713636, 31612960, 31612960, 31612960"
"Ministry of Education, Science and Technological Development of the Republic of Serbia",1,1,1,"31713636"
"Ministerio de Economía y Competitividad",3,3,3,"31713636, 30335169, 28943872"
"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja",1,1,1,"31593887"
"University of Toronto McLaughlin Center",1,1,1,"31016417"
"Ontario Institute for Cancer Research",2,2,2,"31016417, 32442307"
"Princess Margaret Cancer Foundation",1,1,1,"31016417"
"University of Toronto",1,1,1,"31016417"
"Ontario Ministry of Training, Colleges and Universities",1,1,1,"31016417"
"Canadian Cancer Society",1,1,1,"31016417"
"Sciences and Engineering Research Council of Canada",1,1,1,"31016417"
"Ontario Ministry of Research, Innovation and Science",1,1,1,"31016417"
"National Science Centre, Poland",4,2,2,"33053178, 33053178, 33367605, 33367605"
"Japan Society for the Promotion of Science (JSPS)",2,2,2,"28234924, 30046160"
"Transdisciplinary Research Integration Center Project of the Research Organization of Information and Systems",1,1,1,"28234924"
"Japanese Ministry of Agriculture, Forestry and Fisheries",1,1,1,"28234924"
"Rose Hills Foundation",2,2,2,"31612957, 31665425"
"Human Frontier Science Program",2,2,2,"31612957, 31665425"
"the National “973” Key Basic Research Development Program",1,1,1,"27209279"
"the Program of International S&amp;T Cooperation",1,1,1,"27209279"
"the Fundamental Research Program of Shanghai Municipal Commission of Science and Technology",1,1,1,"27209279"
"111 Project",1,1,1,"31598709"
"Beihang University &amp; Capital Medical University Advanced Innovation Center for Big Data-Based Precision Medicine Plan",1,1,1,"31598709"
"China Human Proteome Project",2,1,1,"31598709, 31598709"
"Scientific and Technological Research Council of Turkey &amp;#x2013; TUBITAK",1,1,1,"31581093"
"Department of Science and Technology (DST)",1,1,1,"24548788"
"King Abdulaziz City for Science and Technology",1,1,1,"29209336"
"the research project of the health and family planning commission of heilongjiang province",1,1,1,"34774049"
"karolinska institutet research foundation grants 2020-2021",1,1,1,"34774049"
"excellent young talents project of central government supporting local university reform and development fund",1,1,1,"34774049"
"postdoctoral research foundation of china",2,1,1,"34774049, 34774049"
"national natural science foundation of china",5,2,2,"34774049, 34774049, 34774049, 34774049, 34496744"
"heilongjiang provincial postdoctoral science foundation",1,1,1,"34774049"
"National College Students Innovation and Entrepreneurship Training Program",1,1,1,"34774049"
"Natural Science Foundation of China",35,13,13,"31691822, 31691822, 31691822, 31691822, 31691822, 32008039, 32008039, 32008039, 32008039, 31598693, 31598693, 31598693, 31598693, 31598693, 31598693, 31598693, 31598693, 34907423, 30380109, 30380109, 30380109, 28529077, 28529077, 30244175, 30244175, 32621601, 32761141, 30810209, 30810209, 30810209, 29157087, 33094321, 33094321, 33094321, 29351734"
"Changjiang Scholars Program of China",2,2,2,"31691822, 32008039"
"the National Key Research and Development Program",1,1,1,"28533016"
"the CAMS Innovation Fund for Medical Sciences",1,1,1,"28533016"
"National Major Science and Technology Project",1,1,1,"28533016"
"Program for Changjiang Scholars and Innovative Research Team in University",1,1,1,"28533016"
"Israel Ministry of Science and Technology",1,1,1,"28299908"
"European Commission",7,4,4,"31066443, 33125055, 33125055, 33125055, 32248568, 32248568, 30020414"
"China Scholarship Council",6,6,6,"31066443, 28549078, 31637139, 27643925, 33035346, 33051671"
"Academy of Finland Research Fellow",1,1,1,"31066443"
"Finland&apos;s EDUFI Fellowship",1,1,1,"31066443"
"National health and family planning commission of the people&apos;s republic of china",1,1,1,"28562632"
"National Science &amp; Technology",1,1,1,"33104791"
"NIDA NIH HHS",27,19,17,"26019122, 30951672, 25166490, 25166490, 22276777, 21821666, 21821666, 21890895, 25102069, 31259547, 31228159, 31868683, 27643925, 31171447, 31598702, 22067444, 22067444, 26434508, 26434508, 22102583, 22102583, 29136208, 29136208, 29136208, 27587585, 31696236, 31696236"
"Council of Scientific and Industrial Research, India",1,1,1,"34015403"
"Norges Forskningsråd",3,3,3,"32632099, 34583740, 28651544"
"Norges Forskningsråd (Research Council of Norway)",1,1,1,"32632099"
"EC | Horizon 2020 Framework Programme (EU Framework Programme for Research and Innovation H2020)",1,1,1,"32632099"
"EC | Horizon 2020 Framework Programme",2,2,2,"32632099, 34493866"
"National Institute of Health",5,4,4,"34010390, 32436932, 32436932, 27188311, 30407596"
"Binational Science Foundation",1,1,1,"34010390"
"Genetic Engineering laboratories in Universiti Teknologi Malaysia (UTM)",1,1,1,"24333540"
"Universiti Sains Malaysia (USM)",1,1,1,"24333540"
"French National Research Agency",3,3,3,"25065645, 32163115, 30321422"
"Inria",1,1,1,"25065645"
"University of Rennes 1",1,1,1,"25065645"
"BIOTEMPO project",1,1,1,"25065645"
"Administrative Department of Science, Technology and Innovation of Colombia, Colciencias",4,1,1,"25451822, 25451822, 25451822, 25451822"
"University of Cartagena",1,1,1,"25451822"
"National Programs for High Technology Research and Development",6,3,3,"30357418, 30357418, 30364969, 30364969, 30364952, 30364952"
"Chinese Academy of Science",2,1,1,"30357418, 30357418"
"National Key Research &amp; Development Program of China",2,2,2,"30357418, 30364952"
"National Nature Scientific Foundation of China",3,2,2,"31164042, 31164042, 32608478"
"Fund for Excellent Young Scholars of Inner Mongolia",1,1,1,"31164042"
"Program for Young Talents of Science and Technology in Universities of Inner Mongolia Autonomous Region",1,1,1,"31164042"
"National Institute of Neurological Disorders and Stroke",9,2,2,"30357403, 26048622, 26048622, 26048622, 26048622, 26048622, 26048622, 26048622, 26048622"
"The Fundamental Research Funds for the Provincial Universities",1,1,1,"31665430"
"Tsinghua-Fuzhou Institute for Data Technology",1,1,1,"30788500"
"Foundation against Cancer",2,1,1,"30357379, 30357379"
"Fritz Thyssen Stiftung",1,1,1,"30357379"
"Sichuan Science and Technology Program",2,2,2,"35694152, 31504189"
"European Union Horizon 2020",2,2,2,"32726198, 32548865"
"Deutsches Zentrum für Infektionsforschung",1,1,1,"32726198"
"Niedersächsische Ministerium für Wissenschaft und Kultur",1,1,1,"32726198"
"Intramural EPA",1,1,1,"29683130"
"U.S. Environmental Protection Agency",1,1,1,"29683130"
"Office of Research and Development",1,1,1,"29683130"
"Office of Science",1,1,1,"27664130"
"Gordon and Betty Moore Foundation",3,3,3,"27664130, 33166387, 31722421"
"LifeWatchGreece Research Infrastructure",2,1,1,"27664130, 27664130"
"CyVerse",2,1,1,"27664130, 27664130"
"the Natural Science Foundation of Tianjin",1,1,1,"33002112"
"CAS STS programme",1,1,1,"33002112"
"Scientific Research Conditions and Technical Support System Programme",1,1,1,"33002112"
"International Partnership Programme of Chinese Academy of Sciences of China",1,1,1,"33002112"
"National Key Research and Development Programme of China",1,1,1,"33002112"
"Deutsches Zentrum für Herz-Kreislaufforschung",1,1,1,"32459338"
"Eesti Teadusagentuur",4,1,1,"34493866, 34493866, 34493866, 34493866"
"European Molecular Biology Laboratory",19,18,17,"34493866, 31647096, 31696235, 33290552, 33290552, 33206959, 30020414, 31701150, 33270111, 31584097, 33237286, 31680160, 33166387, 30357387, 33156333, 33170273, 31691826, 31722421, 33175160"
"EC | European Regional Development Fund",1,1,1,"34493866"
"European Bioinformatics Institute",4,4,3,"34493866, 31584089, 31691815, 32486891"
"Open Targets",5,5,5,"34493866, 33237286, 33125078, 33156333, 33170273"
"Plasma Protein Therapeutics Association Europe",1,1,1,"31263866"
"EURO-POLICY-PID",1,1,1,"31263866"
"BMBF",4,1,1,"31263866, 31263866, 31263866, 31263866"
"ESID society",1,1,1,"31263866"
"European and National Grants",1,1,1,"31263866"
"Central public welfare research institutes",1,1,1,"30365030"
"National Key Technology R&amp;D Program of China",2,1,1,"30365030, 30365030"
"Program of China",1,1,1,"30365030"
"Key project at central government",1,1,1,"30365030"
"Shanghai Jiao Tong University",6,5,5,"31887789, 31887789, 30032758, 31642469, 32221380, 30407568"
"Interdisciplinary Program of Shanghai Jiao Tong University",2,1,1,"31887789, 31887789"
"Tip-top Scientific and Technical Innovative Youth Talents of Guangdong special support program",2,1,1,"31598693, 31598693"
"Guangzhou Bureau of Science and Information Technology",5,1,1,"31598693, 31598693, 31598693, 31598693, 31598693"
"French Ministry of Labor",1,1,1,"26179317"
"13th Five-year Informatization Plan of Chinese Academy of Sciences",7,6,6,"31584095, 30364969, 30365027, 30365027, 30371881, 30364952, 33170268"
"International Partnership Program of the Chinese Academy of Sciences",6,6,6,"31584095, 30364969, 28387199, 30371881, 30364952, 33170268"
"National Key Research Program of China",14,7,7,"30364969, 33119759, 33119759, 33119759, 28387199, 28387199, 28387199, 28387199, 30371881, 30252093, 30252093, 30252093, 30335176, 31620779"
"Heilongjiang Education Department Fund",2,1,1,"30321400, 30321400"
"Heilongjiang Postdoctoral",1,1,1,"30321400"
"Fundamental Research Funds",3,3,3,"30321400, 31642484, 33095866"
"Natural Science Foundation of Chongqing of China",2,1,1,"32591816, 32591816"
"Science and Technology Innovation Commission of Shenzhen",1,1,1,"32591816"
"Science Innovation Program of College of Laboratory Medicine; Chongqing Medical University",1,1,1,"32591816"
"Science and Technology Research Program of Chongqing Municipal Education Commission",1,1,1,"32591816"
"NIAMS NIH HHS",6,6,6,"31642488, 30407583, 30397019, 33174596, 32777102, 29487113"
"National Eye Institute",5,5,5,"29337142, 33290552, 33206959, 30417254, 33237286"
"Frank McGraw Memorial Chair in Cancer Research",1,1,1,"30951672"
"American Cancer Society",2,2,2,"30951672, 25382819"
"FIOCRUZ",1,1,1,"33995920"
"Interdisciplinary Research Program of Seoul National University",1,1,1,"22140171"
"The State Key Laboratory of Integrated Management of Pest Insects and Rodents",1,1,1,"33511767"
"Max Planck Society",1,1,1,"34793786"
"Health Food Chain Safety and Environment",1,1,1,"34626475"
"Guangzhou Municipal Key Discipline in Medicine",1,1,1,"32219413"
"Key Laboratory for Innovation Platform Plan, Science and Technology Program of Guangzhou, China",1,1,1,"32219413"
"Guangzhou Municipal Psychiatric Disease Clinical Transformation Laboratory",1,1,1,"32219413"
"General Secretariat for Research and Technology",2,2,2,"34741074, 32248568"
"China National Basic Research Program",1,1,1,"33497436"
"Program of Shaanxi Province Science and Technology Innovation Team",1,1,1,"33497436"
"Mathematical Tianyuan Fund",1,1,1,"33497436"
"Czech Science Foundation",2,2,2,"33166383, 31584092"
"The Ministry of Education, Youth and Sports",4,1,1,"33166383, 33166383, 33166383, 33166383"
"Brno University of Technology",1,1,1,"33166383"
"Operational Programme Research, Development and Education",1,1,1,"33166383"
"Farmer Welfare",1,1,1,"30611878"
"Centre for Agricultural Bioinformatics",1,1,1,"30611878"
"Department of Agricultural Research and Education, Ministry of Agriculture",1,1,1,"30611878"
"ICAR-Indian Agricultural Statistics Research Institute",1,1,1,"30611878"
"Ghent University Multidisciplinary Research Partnership",1,1,1,"26456067"
"Central Public-Interest Scientific Institution Basal Research Fund",3,1,1,"31774482, 31774482, 31774482"
"Non-profit Central Research Institute Fund of Chinese Academy of Medical Sciences",1,1,1,"31774482"
"National Basic Research Program of China",1,1,1,"31774482"
"CAMS Initiative for Innovative Medicine",1,1,1,"31774482"
"Welch Foundation",6,4,4,"29890119, 33973408, 30418591, 33021634, 33021634, 33021634"
"Precursory Research for Embryonic Science and Technology",1,1,1,"33511845"
"National Competitiveness and Excellence Program",1,1,1,"31686102"
"Chinese Academy of Sciences of China",1,1,1,"32120139"
"Natural Science Foundation of Tianjin, China",1,1,1,"32120139"
"CAS STS program",1,1,1,"32120139"
"Scientific Research Conditions and Technical Support System Program",1,1,1,"32120139"
"Office of Biological and Environmental Research",1,1,1,"28245064"
"Biological and Environmental Research",1,1,1,"28245064"
"National Institute of Justice",1,1,1,"29175726"
"Forensic Technology Center of Excellence",1,1,1,"29175726"
